date,open,high,low,close,volume,average,barCount
2024-07-10,5.292,5.443,5.234,5.348,308703.05,5.32925,90
2024-07-11,5.348,5.522,5.278,5.295,399561.89,5.3607499999999995,90
2024-07-12,5.298,5.494,5.208,5.46,427089.11,5.365,90
2024-07-13,5.46,5.613,5.437,5.561,344355.76,5.51775,90
2024-07-14,5.56,5.705,5.494,5.678,371551.87,5.60925,90
2024-07-15,5.679,5.979,5.661,5.956,492958.53,5.8187500000000005,90
2024-07-16,5.955,6.069,5.716,6.02,957362.55,5.94,90
2024-07-17,6.021,6.211,5.996,5.998,691366.94,6.056500000000001,90
2024-07-18,5.999,6.391,5.96,6.063,1021422.79,6.10325,90
2024-07-19,6.065,6.35,5.996,6.3,629542.55,6.1777500000000005,90
2024-07-20,6.299,6.429,6.25,6.397,337206.98,6.34375,90
2024-07-21,6.396,6.493,6.065,6.396,556217.01,6.3375,90
2024-07-22,6.401,6.469,6.059,6.122,513990.44,6.2627500000000005,90
2024-07-23,6.122,6.271,5.867,5.958,460860.28,6.054500000000001,90
2024-07-24,5.963,6.194,5.852,5.895,367353.18,5.976,90
2024-07-25,5.9,5.946,5.485,5.683,711122.48,5.7535,90
2024-07-26,5.684,6.091,5.676,6.085,419463.1,5.884,90
2024-07-27,6.085,6.214,6.026,6.098,284727.75,6.10575,90
